model,audio,accent,gender,audiovoice,bgnoise,error,transcription,transcribe_run_time_s
huggingface_wav2vec2_base_960h,American_Female_audiovoice_05_bgnoise_05.wav,American,Female,05,05,0.8024263431542461,work closstep in wheson ete straion aee teaptio rate stration s on atotr and on laat aotect eratet aneeti o closeteto ajantev embezati ocin insertion of steerl heep te foyment of the la an t or closetesh oi advane a underest wire to d sendinor insertion o twenty four at oadry ceal goren pitep capiter to the contralateral limb and endo gratin sertion ibselaterly work cosedte befor main bdyansertion insertion of benistrated main body devae work closedtep boto flone d sa cd say ttisrs an o nowordewor delad anaveme and ejeso impusion m and was ta ora aparcial deployment of the endo rat capitarization of the main body and advancof driteal an steerable shn work closetep en renal hardery capitalization orientation of serable heet to benal fenistration rose and wire advancement after confirmation of ohi capitaation work closestepa superior mesenteric ardery galitalization orientation of terable shee co s m a enistration rose and wire advancement after conpisan appropriat capitaization wor closesdtep c t capitalization orientation of scteerable sheep to c t fenistration rose and wire advancement after confirmition of appropriat capitalization work closestep ten graf toreleace advancemen of c t stend in to position withoutt or oyment reletio of aroximal and distal and o ratetacthmn and reducing tines work closestep clepind step t position of step formillad of protruding into the gordic women flaring with ten melimeter baloonn work cloestep an well d say of the c a selectid d say to confirm appropriate position of the brigin sent an exclude any endaly or targed vessel dosaction work flosestep thertyss ma stet advancemen of the s sm a stent and appropriate position flaring tan orerbe wi work closedtewor d say fly ss m a selected d ssay to confirm appropriate position of the brig in stent an exclude any endaly or targed vessel as antion work os twea oraar flaringaaawork cloetep d say of the rin colate d p a oa copli etion of the rigin stes an excluded any endaly wor tarded u l stepion work closestep sepint by firgated raoundin esertion draw a of dry ceal sheet insertion of bycficeted graft work losestep atin d say or te detection of the i i a selected say to detect position of the ibselateral i i a eork closestep nit an by firgated graft depoyment unsheeth of by firceted end o raft complet deploymnt work flosestep twenty capitarization of the c llan insertion of hidra philic cero thrye fi wire confirmation of c l capitaization using moulding balloon work closestep twenty one d say for the detection of c l i i a selectid d say to detect position of the contralateral a work closesdtep twenty ton c lymm an sertion and depoyment insertion of c l lamb complee detoinman ras rel with ep work floestep twenty three moulding balloon ma advancement af moulding the lu o t ibselateral lay moulding balloon at the distal hart of the c lay work closestep twentyhay complation d say final d say of ty i sral aft eas t centering scouting theras etestopepar erset work closestep twent sbeteao c best ithout conta etet any ee or closete a a disieprs octio anymanever re iretor arietinstet rat bvasten itins a dna ott oe orclosteat sn aneo sh,1.4680590629577637
huggingface_wav2vec2_base_960h,American_Female_audiovoice_05_bgnoise_10.wav,American,Female,05,10,0.9220103986135182,wore close a raneen ym winsertio twenty four atri borie a to the con telateral lind and ender racons ertione sela awore cars a the bo man oansation insertion of benistrated main bn tob or close aposod esd sa ote ee worw dlise nowme blgos one enble bo won ald te windend ly and e ra capitrization of the ain bod oaoerable s wo close aoa anal cardery capitalization forenetion of sanibal sheo te menal tatiz tion rose and wire advancsmafter cosilatio faaaf o creon wore closed a shuperior mesenter on te erlylization orientation of teeree a as amicin anizstration rose and wire advancement after compool wte capitlization worclose oo in st capitalization orientation of sterib she tosete ba s tration rose and wire advancement after confirion of the on re capitaization wore closed ap ta ra wiseas advancemn of setesand intoposition withoutter y of t o releti of loximal and iso an rapitato oe dusa to is clos ta as atae ositioo taoonaceeding int ten jorded flaring with ten melimeater alon whie r loss evage wesra d say of the c a selected d say to confirm a propriaet psition of the rigi ta an excl ued any endely wor tarted resse on as anion wore closed ap erton as amasd a advancemen tof t as ama stadt and ooriatosition flaring onoo closa asay as eway selectin d say ito confirm a ro ria sition f the rig enst a an exclude any endalin wortorasron ocfor close c s say o ooe ai otie oa e anane oone o a cor lose a sain o my ver rols an io dro o of dricealtioe insertion of byttoited gra wore closed ap atn d ssay r the detection of the iia selec o say to dtect position of thin selteral y i ther e osed an nition ananvirgited rao an n unshee the byvecite ando rat cepe te cn an on wore closed ap twento capitarization of te c ad insertion of iter theli sero e by wy confirmation of soutp capitalizaion using mo t te wore closed ap twenton d say oer the detection of cel yia seleca d say to detect psitin of he con telaerl yin o i wore closed ap twentytion t alilanm exsertiand an t nen insertion f st aa on compwe deeound ba wore close at twenty three bal molding belin advance mal molding telu a t celateral ba molda taloon at the distar at the c l ba will lo st up twenty ba combision d a by al d sa of by astrall badal asy t said towinoo anymanonvai,1.1825666427612305
huggingface_wav2vec2_base_960h,American_Female_audiovoice_05_bgnoise_100.wav,American,Female,05,100,1.0,eo o o o o o o ooaw,1.164344310760498
huggingface_wav2vec2_base_960h,American_Female_audiovoice_05_bgnoise_20.wav,American,Female,05,20,0.9965337954939342,ore oe nneansaa oinoeeoe e e casasiaaaoaoaros winn walosern aanarnoionirosa wirin anan aonsawoyanssionosi sanrose wiran n eisionoosaaaansaninisioeoaleoasolarin tn one onaeasthe as a asae aanan erasinn eas an andwosaionoonaaisa nsianrat eiwari hoos inaaaneonaisinn an nanoir oaaoooaoon oosan aon ciosionesaeania onsinwaen aoloisonanainaeoasioneosaooaeisi aiwilsae aean aaooer wat flos b wiba boldig te lyb a ans bal bolden e le body ala o b bold ballden at disar ee out ba bal lo at w bo bosien te by bybalty aby bba baal,1.1786482334136963
huggingface_wav2vec2_base_960h,American_Female_audiovoice_05_bgnoise_50.wav,American,Female,05,50,1.0,eao ooo o ooooooaaa,1.191075086593628
huggingface_wav2vec2_base_960h,American_Female_audiovoice_100_bgnoise_05.wav,American,Female,100,05,0.4072790294627383,workflow step one fusion registration ackftep a step lishment registration of fusion one anteroposterier and one lateral at ninety degrees ellao projection floroscebi images are needed to complete registration workflow step two adjunctive embolization optional insertion of sterable sheet deployment of the last and bolic material workflow step three cht in sertion advancement of lunderquist wire to the assending gorda insertion of twenty four efar sheet dry cal gore and pigtel capheter to the controlateral limb and endographt insertion ipselateraly workflow step for main body insertion insertion of fenistrated main body devies workflow step five deployment d ssay d ssay of the viceral and abdominal gorda to depict anatamy and adjustmen of fusion mass workflow step six main body deployment porkshall defloyment of the endograpt capeterization of the main body and advanement of dri cal and sterabal sheet workflow step stepven renal artery capheterizations orientation of sterable sheet to renal fenistration wroes and wire advancement after confirmation of appropriate catheterization workflow step eight superior mesenteric artery catheterization orientation of sterable sheet to s stm a fenistration wroesand wire advancement after confirmation of appropriate catheterization workflow step nine c t capeterization orientation of sterable sheet to c t fenistration roese and wire advancement after confirmation of appropriate catheterization workflow step ten graft release advancement of c te stent into position without deployment relese of proximal and distal andograph atachments and reducing ties workflow step eleven c a stent position of stent with four mm protruding into the gordic loomin flaring with ten mm balloon workflow step twelve d ssay of the c a selective d say to confirm appropriate position of the bridging stent an exclude any endalique or target vessel desection workflow step thirteen s m a stent advancement of the sm a stent and appropriate postion flaring with ten mm balloon workflow step twerteen d ssay of the s m a selective d say to confirm appropriate position of the bridging stent an exclude any endaliqe or target vessel desection workflow step fifteen renal stents advancement f the renal stent and appropriat position flaring with nine mm balloon workflow step sixteen d ssay of the renals selected d ssay to confirm appropriate position of the bridging stent an exclude any endalique or target vessel desection workflow step stepanteen by fircated grapd in sertion drawback of dry cal sheet insertion of by fircated grapt workflow step eighteen d say for the detection of the i a selective d say to detect position of the ipselateral i i a workflow step ninteen by fircated grap deployment unsheet of by fircated endograpt complet deployment workflow step twenty capeterization of the c ll lyn nsertion of hydropilic cero thry five wire confirmation of l capheterization using moulding balloon workflow step twenty one d ssay for the detection of c l ii a selective d say to detect position of the controlateral i i a workflow step twenty two c l lim in stertion and deployment insertion of c ll lyn complete deployment of c ll lyn workflow step twenty three moulding balloon advancement of moulding balloon to the ipselateral ly moulding balloon at the distal part of the c ll lyn workflow step twenty for completion d ssay final d say of the viceral abdominal gorda down to distal landing zones to confirm appropriate position of the ndographt and bridging stent an exclued presents of any endaly workflow step twenty five c b c t senterine scouting floroscoby emages to prepare for c b c te workflow step twenty six c b c t performents of c b c t withoutfontrast to detect any early tathnical pitfalls workflow step twenty seven additional repairs optional any maneuvers require to repaire existing stent grapht based on isshues addentified on completion d say or c b c t workflow step twenty eigh chth removal removal of sheds,1.2071723937988281
huggingface_wav2vec2_base_960h,American_Female_audiovoice_100_bgnoise_10.wav,American,Female,100,10,0.462738301559792,workflows step one fusion registration acftep a steplishment registration of fusion one anteroposteriar and one lateral at ninety degrees ellao projection floroscebi images are needed to complete registration workflows step two adjunctive emblization optional insertion of sterable sheet deployment of the last and bolic material work flow step three sht insertion advancement of lunderquist wire to the assending gorda insertion of twenty four efar sheet dry cel gore and pigtel capheter to the controlateral limb and aendographt in sertion ipselateraly work flow step for main body insertion insertion of fenistrated main body devie work flow step five deployment d ssay d ssay of the viceral and abdominal gorda to depict anatamy and adjustmen of fusion mass workflows step six main bdy deployment corshal deployment of the endograpt capaterization of the main body and advanement of dri cal and sterable sheet workflows step steven renal artery capheterizations orientation of sterable sheet to renal fenistration roes and wire advancement after confirmation of appropriate catheteriation work flows step eight superior mesenteric artery captheterization orientation of sterable sheet to stm a fenistration wroesnd wire advancement after confirmation of appropriate catheterization workflows step nine c t capeterization orientation of sterable sheet to c t fenistration roes and wire advancement after confirmation of appropriate capheterization workflow step ten graft release advancement of c t stent into position without deployment relete of proximal and distal andograph atachments and reducing ties workflow step eleven c a stent position of stent with four mm protruding into the gordic loomin flaring with ten mm balloon workflows step twelve d ssay of the c a selective d say to confirm appropriate position of the bridging stent an exclude any endalique or target vessel desection workflows step thirteen s m a stent advancement of the sm a stent and appropriate postion flaring with ten mm balloon workflows step tworteen d ssay of the s m a selective d say to confirm appropriate position of the bridging stent an exclude any endaliqe or target vessel desection work flows step sixteen renal stents advancement f the renal stent and appropriate position flaring with nine mm balloon work flows step sixteen d ssay of the renals selected d ssay to confirm appropriate position of the bridging stent an exclude any endalique or target vessel desection workflows step steventeen by fircated grapd in sertion drawback of dry ceal sheet insertion of by fircated grapt work flows step eighteen d say for the detection of the i a selective d say to detect position of the ipselateral i i a orkflows step nineteen by fircated grap deployment unsheet of by fircated endograpt complet deployment workflows step twenty capaterization of the c ll lyn insertion of hydrophilic cero thry five wire confirmation of c l catheterization using moulding balloon workflows step twenty one d ssay for the detection of c l ii a selective d ssay to detect position of the controlateral i i a work flow step twenty two c l lim in stertion and deployment insertion of c ll lyon complete deployment of c ll lyn workflows step twenty three moulding balloon advancement of moulding balloon to the ipselateral lyn moulding balloon at the distal part of the c ll ly workflows step twenty for completion d ssay final d say of the viceral abdominal gorda down to distal landing zones to confirm appropriate position of the ndographt and bridging stent an exflude presents of any endoly workflows step twenty five c b c t senterine scouting floroscopy emages to prepare for c b c t work flow step twenty six c b c t performents of c b c t withoutfontrast to detect any early tachnical pitfalls workflows step twenty seven additional repairs optional any maneuvers require to repare existing stent grat based on isshues adentified on completion d say or c b c t workflow step twenty eight shth removal removal of sheds,1.1820526123046875
huggingface_wav2vec2_base_960h,American_Female_audiovoice_100_bgnoise_100.wav,American,Female,100,100,0.8197573656845754,work closdt e in esn etestraio aatapiti reg stration s un nd on lat t at a ne or closteo ajontiv embeati option insertion of cteeren sheet decoyment of the laa a or clostsho advan under es wire to d sendinorinsertion o twenty four at myadry ceal gorean pitll capiter to the contrelateral limb and endo rapt in sertion ibselaterly work cosed up befor main body ansertion insertion of benistrated main body device work closed up bo te fone d sa d sa f the tisrs an o nolldewer didad and aveme and e jeso imfusion m an was ba or parcialed depployment of the endo raftcapitrization of the main body and advancof dryteal an dteerable shn work closed up ep renal hardery capitalization orientation of serable sheet tobrenal fenistration rose and wire advancement after cofirmation of aar a capitalization work closed epa superior masinteric ardery calitalization orientation of teerable sheet co ma venistration rose and wire advancement after compasionan appropriat capitalization wor closed ucaic t capitalization orientation of steerable sheet to c t fenistration rose and wire advancement after confirmition of appropriac capitaization work closed ep ten graft release advancemn of t stend into position withouttor oymn relete of aproximal and distal and a raptetathmn and reducing tines orclosed up lup and step t position of step formilliad of protruding into the gordic oymen flaring with ten mm baloon work closed ep an well d ssay of the c a selectid d ssay to confirm appropriate position of the brigenstent an exclude any endaly or targed vessel to s action work closed up ther t ss ama st ent advancemen tof the sma stent and appropriate position flaring etan aerblw work closd u wor d say fly ss ma selected d ssay to confirm appropriate position of the brig enstent an exclude any endaly or target vessel was ation ork ose tw o claring awwork closed uep td say of the rin clate d a o o copli etion o the rigin sep anx cleed any an dily wor tarded ple sepon wor closed uep sepente by firgetef raundnesertion draw ap of dry ceal shee insertion of byteceted graft work closed up et on d ssay or the detection of the ii a selectid i ssay to detect position of the iselateral i i a we work closed ep niti an by irgeted graft epoyment unsheet of by p firgeted endo rat comple teploymat work closed up twenty capitarization of the c llan insertion of hidra philic cero three fie wire confirmation of c l capitaization using moulding ballon work closed ep twenty one d ssay for the detection of c l ii a selectid d say to detect position of the contrelateral i i a work closed ep twenty tion c lynm and sertioen and depoyment insertion of c llan complete detcoinan ras ral with ep work closed ep twenty three moulding balloon b advancement af moulding the lu t ibselateral lay moulding balloon at the distal heart of the c lay work closed ep twentyly complation d say finall d say of ty a sral afd eas t centering scouting terat ano pear pr ork closed ep twet seveeao c bs ithot coa t any e clodte adisii rs oction anymanevers reiretor are e tin ep ra bata isions a dna st orlos e sh a eosh,1.1839792728424072
huggingface_wav2vec2_base_960h,American_Female_audiovoice_100_bgnoise_20.wav,American,Female,100,20,0.5233968804159446,work flows step one fusion registration ac sep s a steplishment registration of fusion one anteroposteria and one lateral at ninety degrees ellao projection floroscop images are needed to complete registration work flows step two addunctive embilization optional insertion of sterable sheet deployment of the last and bolic material work flows step three sheef insertion advancement of munderquist wire to the asscending gorda insertion of twenty for afar shent dry cel gore and pigtel capheter to the controlateral limb and aendographt in sertion ipselateraly work flows step for main body in sertion insertion of fenistrated main body devie work flos step five deployment d say d ssay of the viceral and ab dominal gorda to depict anatamy and adjustmen of fusion mahs work flows step six main body depoyment partial deployment of the endograpt capaterization of the main body and advanement of dry cal and sterable sheet work flows step seven renal ardery caphaterizations orientation of sterable sheet to renal fenistration ros and wire advancement after confirmation of appropriate cathaterization work flows step eight superior mesenteric artery capthaterization orientation of sterable sheet to ss m a fenistration wrosand wire advancement after confirmation of appropriate cathaterization work flows step nine c t caphaterization orientation of sterable sheet to c t fenistration ros and wire advancement after confirmation of appropriate caphaterization workflows step ten graft release advancement of c t stend into position without deployment releese of proximal and distal andographt atachments and reducing ties work flows step eleven c a stent position of stent with four mm protruding into the gordic loomen flaring with ten mm balloon work flows step twelve d ssay of the c a selective d say to confirm appropriate position of the bridging stent an exclude any endalique or target vessel desection work flows step thirteen s m a stent advancement of the s m a stent and appropriate postion flaring with ten mm balloon work flows step forten d ssay of the s m a selective d say to confirm appropriate position of the bridging stent an exclude any endalique or target vessel desection work flows step sixteen renal stent advancement of ta renal stent en appropriate position flaring with nine mm balloon work flows step sixteen d ssay of the renals selected d ssay to confirm appropriate position of the bridging stent an exclude any endalique or target vessel desection work flows step seventeen by fircated grapht in sertion drawback of dry ceal sheet insertion of by fircated grapt work flows step eighteen d say for the detection of the ii a selective d say to detect position of the ipselateral i i a ork flows step nineteen by fircated gra deployment un sheet of by fircated endograpt complete deployment work flows step twenty capaterization of the c l lin insertion of hydrophilic cero thry five wire confirmation of c l caphaterization using moulding balloon workflows step twenty one d ssay for the detection of c l i i a selective d ssay to detect position of the contralateral i i a work flows step twenty two c ll lim in stertion and deployment insertion of c l lyn complet defloymat of c l lyn work flows step twenty three moulding balloon advancement of moulding balloon into the ipselateral lyn moulding balloon at the distal part of the c l ly workflows step twnty four completion d ssay final d say of the viceral abdominal gorda down to distal landing zones to confirm appropriate position of the ndograph and bridging stent an exclude presents of any endoy work flows step twenty five c b c t senterin scouting floroscopy emages to prepare for c b c t work flows step twenty six c b c t performence of c b c t without contrast to detect any early technical pitfalls workflows step twenty seven additional repairs optional any manuvers require to repare existing stent graft ba ston isshues adentified on completion d say or c b c t work flows step twentieight sheef removal removal of sheeds,1.1908254623413086
huggingface_wav2vec2_base_960h,American_Female_audiovoice_100_bgnoise_50.wav,American,Female,100,50,0.6273830155979203,work floes step one fusion registration acseps a step wassion registration o fusion one antroposteria and one lateral at ninety degrees elao projection florascop inages i needed tocon registration work floews step too adjuntive emblizaion optional insertion of sterable sheet deployment of the last and balic materia work floe step three sheep insertion advancement of munderquist wire to the esseding gorga insertion of twenty four af our sep dry cel gore and pigtel tapeter to the contralateral limb and endographt insertion ipselateraly work floestep four main body insertion insertion of fenistratadmain body device work loes step bot deployment d sa d ssay of the visteril and of dominal borda wir to depic anatamy and of jusstlin of pusion m answork flowstep i man bi partial deployment of the endograft capaterization of the main body and advancement of dry cal and sterable sheet work floes step stemen renal ardery capatarization orientation of cterable sheet to brenal fenistration ros and wire advancement after confirmation of appropriate capaterization work floews stepa superior mesenteric artery capatarization orientation of sterable sheet to s m a fenistration wrosand wire advancement after confimation of appropriate capatarization wor flows step nine c t capatarization orientation of sterable sheet to c t fenistration wros and wire advancement after confirmation of appropriate capatarization work floe step ten graft release advancemen of c t stend into position withoutpteploymen releese of prokimal and distal and dographt atachments and reducing tides work flows step elepen d a stent position of step with four millineter protruding into the gordic loomen flaring with ten mm balloon work floes step twelve d ssay of the c a selective d say to confirm appropriate position of the bridging stent an exclude any endalyqu or target vessel desection work floes step thirteen s m a stent advancement of the s m a stent and appropriate postion flaring with ten maonerballoon work floe step forkd say of the s m a selective d say to confirm appropriate position of the bridging stent an exclude any endalyqu or target vessel dsection work floesteirena fal raaal sten a o bresiction flaring waninaner balli wor floes step six td ssay of the raynal collected d ssay oconferm of propriat position of the bridging stent an exxclude any andaly or target vessel desection work floes step seventeen by fircated grapt insertion drawback of dry ceal sheet insertion of by irceted graft work floes step eigt d say for the detection of the i i a selective d say to detect position of the ipselateral i i a work floes step nineteen by fircated graft eployment one sheet of by firgeted endograft complete deployment work flows step twenty capaterization of the c l lon insertion of hidra philic cero three five wire confirmation of c l capatarization using moulding balloon work floes step twenty one d ssay for the detection of c l i a selective d ssay to detect position of the contralateral i i a work flow step twenty two c l lym and stertion and deployment insertion of c l lym complet depoyman of l le a work floes step twenty three moulding balloon advancement of moulding ballooninto the ipselateral lay moulding balloon at the distal part of the c l lay work flos step twenty four completion d ssay final d say of the histeral ab dominal wa ga an tan a o a an ra n an sta and ok a a an an ork o stp an b c t sentering scouting florascopy andages to prepare for c b c t work flow step twentys c bc t prefarments of c b c t without contrast o detect any erarly tepapaps ork floes step twensa additional repairs optional anymanuvers repuired to repare existing step graft ba ston isshues identified on conpletion d sa or c bst work floe step tentia she ferneva emoval o shs,1.181452989578247
