model,audio,accent,gender,audiovoice,bgnoise,error,transcription,transcribe_run_time_s
huggingface_wav2vec2_large_libri_960h,American_Female_audiovoice_05_bgnoise_05.wav,American,Female,05,05,0.5721739130434783,work flow step one pusion registraion ksep establiin registration of sion one entero veteria and on lateral at inty dec i a o projection erastip in agies a nedad to pe e vegistration workflw step two adjunctive embalization option insertion of steerable sheet deployment of the last embalic materia workflo step tre sheep insertion advancement of mundercuist wire to the ecending dorga insertion of twenty four efar shsdry seal gore and patal caciter to the contrilateral limb and endograft insertion ipslaterally work flow step four main body insertion insertion of benestrated main body device workflo step bn deployment d s a d s a of the viseral an end doinaorder to depit anatomy an a gusel onfusion mendbles balloon worksew stepsip man body artial deployment of the endogra capiterization of the main body an advancemao dry soeal in sterable shee workflow step seven renal artery capitarizations orientation of seerable shet to brenal venestration osan wire advancement after confirmation of aproprii capitarsation workflow step eight superior mesenteric artery galiterization orientation of sterable sheet to ssm a venestration woan wire advancement after conflw a appropriate capitrization workflo step nrinn c t capitarization orientation of steerable sheet to s t venestration rosan wire advancement after confirmation of appropriate capiteriation workflow step ten graft release advancement of c t stend into position without deployment release of proximal and distal endograft attachments and reducing tise workflow step seven c a stent position of stet our milimetor protruding into the gordic loomen flaring with ten milimeter balloon workflow stepage welv d s of the c a selected d s a to confirm appropriate position of the bridgingstent and exclude any endlik or target vessel desection workflow step thirteen s m a stent advancement of the sm a stent and appropriate tosition flaring f tendeo ster balooon workflow step or d s a of hhe ssm a selecteve d s a to confirm appropriate positin of the bridgingstent and exclude any endolik or target vessel section workflow stepreo a a s tioflaring ap tep workflow step sixe d sa of the renas celected t s a tconfirm appropriate position of the bridging stent and exclude any endolik or target essele desection workflow stp seventeen by firgeted grafta isertion drawback of dry seal sheet insertion of by terceted graft workflow step eighteen d sa for the detection of the i i a selectid l s a to detect position of the ipsilateral i i a workflo step nineteen byfireted graft eployment unsheath of by furceted endograft complete deplwoyment worklow step twenty capitarisation of the c llyn insertion of hydrophilic zero thery five wire confirmation of c l caitarization using moulding balloon worklw step twentyo d sa for the detection of c l i a selectev d s to detect position of the contrilatral i a workflow step twenty twon c l lim insertion and deployment insertion of c el limb complete deploymenose ell li workflow step twenty three moulding balloon advancement of moulding balloon to the ipsilateral li moulding balloon at the dystal part of the s l li workflow step twenty for completion d s a final d s a of the visteral abdominal bode ta andi ss to confirm bi asian oe endob bridgingstnan ekflow spesn o any adworkflow step on o c b c t centering scouting plorosity images to prepare for s v sate workflow step twenty six b s t vofaec of s b e tee without contrast to detept any early teci vafitfos workflow step fy sep additional repairs option any manoeuvers repuire to reer existing step graft based on istius iddentifyed onpefation d s a or se et worklow step ete shea anuva a moven of shees,3.1767351627349854
huggingface_wav2vec2_large_libri_960h,American_Female_audiovoice_05_bgnoise_10.wav,American,Female,05,10,0.8208695652173913,work clo step ansion egestrato apettes registration etmuneoe and ten late eenepaoeecte asvto e aeetoeoptostptio adjantive mbei ation ution insertion of seeesee deployment of ha la envapeteefostet sheeadvancement of munderes wire to hesenen insertion of twenty four affarp strise gor sisptsterto the contraleral linm and endo lapstintrtion ixcelatery work towstep abor man one insertioninsertion of benestrated manin botytys work flo stepse o ses t s s sa esos osoles e ltela in avinlewilgial sen sio an bls bolllon osaefota teeloment oe end there ncapitarization op the ain bodeoianof wunsoal sterble work flo stepstenrena artery capitarization orienttio of sserrable shee othe tenal ta estation rosan wire advancemen aer coirmatio oaoe tepsoratio ork flo steppi superior mesenteric argy be alization orientation of steeraltee tesem in benistratios roan wire advancement after cn flo top ecapthe oisatio orklo stt eiee ste captarization orientation of steerable shee tos se teb stration rosan wire advancement after confirmteion of a o recap h aition work flow step tet raftoas advancement of c t stend into position without dor liit release of aproximal and dystal and a raptetachme se eesteintats workflo ste step c a ste sposition of step foianl ce etuting intothe jordi eflaring with ten milimeter baloon erlos average welcom d sa of the sa seleptiv d s a to confirm appropriate position of he briginetent and excluude any endaly or target rsa desectin work flo step terte sm asten advancement a the sem a stent an apporiattositie flaring nosioork flosteor saye oe e oay seleptin d sas to confirm appropriateposition of the briginstent and exclude any endly or taret esork os clar pwork flo st say of theeoote a oota itioaorig o and exclude an n an targa sasep fork flo stp ssevint wypergatd round losershdraws o of dry seelsiee insertion of lyttated grap work flow steptatnd s or the detection of the i i a celet dle sa to detect position of the ipcilateral iia reerfow ste minte codvyforated graptalitent unsheath the by forpated endo raf completo wene f work flo sep twenty capitarisatin of the c een insertion of hydro tl serotry bive wir confirmation of s ell caitarisation using moldi aly work flo step twentyd sa f or thedetection of c el i a seleptiv d s to detep psition of the clantralateral iat work flow step twenty two c l liminsertient and deomnt insertion of ellor complete detorsreo estepworkflow step twenty three moulding balloon advancement of moulding balloonto the ipsilateral la moulding balloon at the distal art of the c l la work flow step twenty four completion d s a final d s of the mistera abdommiaoab c t centre scouting telasteetes to prepare for cetesetorklo step fentedveientf oaee seeetap opeps o ete ene ees fostepepsddition ofpas action any manuof repir toeeetinstepras astn itioeps addentify o sot fe oostepeshe nove asheetes,3.049360990524292
huggingface_wav2vec2_large_libri_960h,American_Female_audiovoice_05_bgnoise_100.wav,American,Female,05,100,0.9930434782608696,aaaeeaaaaaeaaaaeeooti e te w iiieeeee elo e ae lie loloi i e oe e e e lteeteyteooeeee a aote reas i o oeietie loae oetoeea aottutwe e arieoeee loeeaeros fltwenty hreal molding billi aladvance mel molding bily mldhy osla a bmold aldon at the distlrof te see o alwallost atwen alcomolsion dy ldi fyldy fly absal bo de se ty aaeaaeaaaeeaaaaeeaa,3.0860466957092285
huggingface_wav2vec2_large_libri_960h,American_Female_audiovoice_05_bgnoise_20.wav,American,Female,05,20,0.9721739130434782,eeaaaateataaagento enpaa oa ethe aea ta etasaa ae in te eat wenty our aoawteo e wo iieaiaea e oft esioisawert th o ewanieinnwitesie e usin a e o ceoesseassae e linee dsoe a w os to weta woeaerisatioaainoeeo tossooneentoareoaoranshten hateteoetaeiowrs i wiaidansaateaarwos awae periartesat eroe esien eory inthetion osewoeeaeenteetsrose insiradvaca cteooooseixheasreooeiey ataeatioori antotetioin ossteotihoeeoosin oesntoorose an ier ad antoeoentiasishoe or wore sed eptao otewrapteasadvancement ofed ineiesan in e itio ouptororae ly d wosonaan testoba oa tetotteanitoss eoasteaeeeuia e aintoeflaring tnd tan e oeon iee loeresas d atwa baso a t of tee seeainhan to con wrero or hoa h w asenna exe o othe any endo ee e toare te wsesaniion er losd ep eroasbemadenadvanoe on th assem basd eoentoeia glaring hooeeasessoe oa woiisata he sasssss to onferot wo aainoeitioe iosd eean exsaheanyto a oien er oaseseiaoeiiieaeosoeer eeo lsesoso wiseentitinsstion oto ts a wea or wsd eee oseeie taptian ocaiiao a doteeoeoe eeasition o asacoaaiave e wse i antean anbera nra t ontonsshen he bywerieta tr sp te sedetafasoeowotd e onttoptrisaion aeh a insetioe oetf a thw eapa conformatio ss ptaesioea arodeetaath aee iee co ge oioioo o e eiae ote e te ositin eo aeaehwa wer osed ep went eah ointh et ttisote instio oso te oooe etwer flo saw twenty three falmoulding balloono advancemen moulding ballooaud the ipcilateral la moulding baloon at the distar of the s l wollow stepped twenty for commotion d fial d of thasro ba dbec t sentotin e e aasta saasoaen eaeaany mi met aaaeneae itad vna,3.0622193813323975
huggingface_wav2vec2_large_libri_960h,American_Female_audiovoice_05_bgnoise_50.wav,American,Female,05,50,0.9860869565217392,aaeaaaaaaaaeeei e e oeeieseeeleae le loloi eo ee e oeoeteyaoooeeaaothe reasens oeeiati loioeoeea aot tae e aieee oaeloseal twenty three al moulding baloon aladvancemel moulding ballon alde ipselateral mamouldal baloon at the dist ar of the sea el la wallow step twenty o comotion d a fial dy f otasra ba deuse te a aeeeeaaaea,3.0092058181762695
huggingface_wav2vec2_large_libri_960h,American_Female_audiovoice_100_bgnoise_05.wav,American,Female,100,05,0.36869565217391304,workflow step one fusion registration axcess establishment registration of fusion one antero posterior and one lateral at ninety degrees l a o projection flueroscupy images are needed to complete registration workflo steptwo adjunctive embilization optional insertion of steerable sheah deployment of the last embolic material wrkflow step three sheath insertion advancement of lunderquist wire to the ascending yorda insertion of twenty four f ar sheeth dry seal gore and pigtail catheter to the contrilateral limb and endograft insertion ipsilaterally workflow stp four main body insertion insertion of penestrated main body device workflow step five deployment d s a d s of the viseral and abdominal yorda to depict anatomy an adjustment of fusion mas wrkflow step six main body deployment partial deployment of the endograft catheterization of the main boty an advancement of dry seal and sterable she worflow step seven renal artery catherizatins orientation of steerable sheath to renal penistration wos an wire advancement after confirmation of appropriate catharization worklow stepeight superior mesenteric artery cthaterization orientation of steerable sheath to s m a fenistration ros and wire advancement after confirmation of appropriate cathateriation workflo step nine c t catheterization orientation of steerable sheath to c t fenistration ros an wire advancement after confrmation of appropriate athaterization workflow stpten graft release advancment of c t stend into position without deployment release of proximal and distal andograpd attachments and reducing ties workflow stp eleven c a stent position of stent with four milimeter protruding into the yordic luman flaring with ten milimeter balloon workflow step twelve d s a of the c a selective d s a to confirm appropriate position of the bridging stent and exclude any endleik or target vessel desection workflo step thirteen s m a stent advancement of the s m a stent and appropriate position flaring with ten mlimetr balloon workflow step wourteen d s a of the s m a selective d s a to confirm appropriate position of the bridging stnt an exclude any endolik or target vessel desection workflow step fifteen renal stents advancement of the renal stent nd appropriate position flaring with nine mm balloon workflow step sixteen d sa of the renals selective d s a to confirm appropriate position of the bridging stent an exclude any endaleik or target vessel desection workflow step seventeen byferketed graft insertion drawback of dry seal sheath insertion of byferketed graft wrkflo step eighteen d s a for the detection of the i a selective d s a to detect position of the ipsilateral i a workflo step nineteen byfereted graft deployment unsheath of byferketed endograft complete deployment workflow step twenty cathaerisation of the l lm insertion of hydrophilic zero three five wire confirmation of c l catharization using moulding balloon workflow step twenty on d s a for the detection of c l i a selective d s a to detect position of the contrilateral i a workflow step twenty two c l lym insertion and deployment insertion of c ll limb complete deployment of c ll lyn wrkflow step twenty three moulding balloon advancement of moulding balloon to the ipsilateral lim moulding balloon at the distal part of the c ll lim workflow step twenty four completion d s final d s a of the viseral abdominal yorda down to distal landing zones to confirm appropriate position of the endograft and bridging stent an exflowed presence of any endalyk workflow step twenty five c b c t centring scouting flouroscopy images to prepare for c b c t workflow step twenty six c b c t performance of c b c t without contrast to detect any early technical pitfalls workflo step twenty seven additional repairs optional any manoeuvers required to repare existing stent graft based on issues iddenifyed on completion d s a or c b c t worklo step twenty eigt sheath removal removal of sheaths,3.108894109725952
huggingface_wav2vec2_large_libri_960h,American_Female_audiovoice_100_bgnoise_10.wav,American,Female,100,10,0.3808695652173913,workflow step one fusion registration axcess establishment registration of fusion one antero posterior and one lateral at ninety degrees l a o projection flueroscopy images are needed to complete registration workflo steptwo adjunctive embilization optional insertion of steerable sheah deployment of the last embolic material workflow step three sheath insertion advancement of lundequist wire to the ascending yorda insertion of twenty four f ar sheet dry seal gore and pigtail catheter to the contrilateral limb and endograftinsertion ipsilaterally workflow stp four main body insertion insertion of penestrated main body device workflow step five deployment d s a d s a of the viseral and abdominal yorda to depict anatomy an adjustment of fusion mas wrkflw step six main body deployment partial deployment of the endo graft catheterization of the main boty an advancement of dry seal and sterable she worflow step seven renal artery catherizations orientation of steerable sheath to renal penistration wos an wire advancement after confirmation of appropriate catharization worklow stepeight superior mesenteric artery chaterization orientation of steerable sheath to s m a fenistration os and wire advancement after confirmation of appropriate cathateriation workflo step nine c t cathiterization orientation of steerable sheath to c t fenistration ros an wire advancement after confrmation of appropriate athaterization workflow step ten graft release advancment of c t stend into position without deployment wrelease of proximal and distal andograpd attachments and reducing ties workflow step elevene c a stent position of stent with four milimeter protruding into the yordic luman flaring with ten milimeter balloon workflow step twelve d s a of the c a selective d s a to confirm appropriate position of the bridging stent and exclude any endleik or target vessel desection workflo step thirteen s m a stent advancement of the s m a stent and appropriate position flaring with ten mlimetr balloon workflow step wourteen d s a of the s m a selective d s a to confirm appropriate position of the bridging stent an exclude any endolik or target vessel desection workflow step fifteen renal stents advancement of the renal stent nd appropriate position flaring with nine mm balloon workflow step sixteen d sa of the renals selective d s a to confirm appropriate position of the bridging stent an exclude any endaleik or target vessel desection workflow step seventeen byferketed graft insertion drawback of dry seal sheath insertion of byferketed graft wrkflo step eighteen d s a for the detection of the i a selective d s a to detect position of the ipsilateral i a workflo step nineteen byferketed graft deployment unsheath of byferketed endograft complete deployment workflow step twenty catheerisation of the c l lm insertion of hydrophilic zero three five wire confirmation of c l catharization using moulding balloon workflow step twenty on d s a for the detection of c l i a selective d s a to detect position of the contrilateral i a workflow step twenty two c l lym insertion and deployment insertion of c ll limb complete deployment of c ll lyn workflow step twenty three moulding balloon advancement of moulding balloon to the ipsilateral lim moulding balloon at the distal part of the c ll lim workflow step twenty four completion d s a final d s a of the viseral abdominal yorda down to distal landing zones to confirm appropriate position of the endograft and bridging stnt an exflw presence of any endalik workflow step twenty five c b c t centring scouting fluroscopy images to prepare for c b c t workflow step twenty six c b c t performance of c b c t without contrast to detect any early technical pitfalls workflo stp twenty seven additional repairs optional any manoeuvers required to repare existing stent graft based on issues iddenifyed on completion d s a or c b c t worklo step twenty eigt sheath removal removal of sheaths,3.086496591567993
huggingface_wav2vec2_large_libri_960h,American_Female_audiovoice_100_bgnoise_100.wav,American,Female,100,100,0.5547826086956522,work flow step one esion registraion ses establishie registration of asion one entro esteria and none lateral at inety de i a o projection e rasticvinagies amedat tepi e vegistration workflow step two adjunctive emberisation optionn insertion of steerable sheet deployment of the last embalic material workflow step tre sheep insertion advancement of munderquist wire to the escending gorga insertion of twenty four efar shsdry seal gore and pitaile caciter to the contrilateral limb and endograft intetion ipsilaterally workflow step four main body insertion insertion of benestrated main body device workflo step bif deployment d s a d s a of the viseral an ead dolinam lore to de te anatimy n o jusl onfusion mebles balloo worksw step ipman bop artial deployment of the endogra caphiterization of the main body and advanceatof dry seeal in sterable shee workflow step ssev renal artery capitarizations orientation of steerable sheet te brenal enestration wosan wire advancemen after confirmation of ap ropriwa scapitarsation workflow step eight superior mesenteric artery caliterization orientation of steerle shee to ssm a penestration won ire advancement after conp s at appropriate capitrization workflo stp neen c t capitarization orientation of steerable sheet to c t venestration rosan wire advancement after confirmation of appropriate capiteriation workflow step ten graft release advancement of c t stant into position without deployment release of proximal and distal andograft attachments and reducing ties workflow step leven c a stent position of step or four milemetor protruding into the gordic lomen flaring with ten milimeter balloon workflow stepg welve d s a of the c a selecteve d s a to confirm appropriate position of the bridgingstent and exclude any endalk or target vessel desection workflow step thirteen s m a stent advancement of the sm a stent and appropriate tosition flaring of tenooster balloon workflow step lor d s a of the sm a selective d s a to confirm appropriate positin of the bridging stent and exclude any endolik or target vessel section workflo steprena a o s sf tiflaring eetepworkflo step sixed sa of the renas celected t s a onform appropriate position of the bridging stent and exclude any endalak or target vessel desection workflow step seventeen by fergeted graft insertion drawback of dry seal shet insertion of vyterceted graft workflow step eighteen d s a for the detection of the i i a selected d sa to detect position of the ipsilateral i i a workflo step nineteen byfergated graft deployment unsheath of byferated endograft complete deplwoyment workflow step twenty caphierisation of the c l lminsertion of hydrophilit ero three five wire confirmation of c l capitarization using moulding balloon worklw step twentyeo d s a for the detection of c l a selecteve d s a to detect position of the contrilatral i a workflow step twenty twon c l limb insertion and deployment insertion of c l limb complete deploymen e ell li workflow step twenty three moulding balloon advancement of moulding balloon to the ipsilateral lim moulding balloon at the dystal part of the s l li workflow step twenty four completion d s a final d s a of the visteral abdominal blimda tdestandngs as to conform o ov esio of he endagafnbridging stenanekflo sfesn of any endworkflow step on bi c b c t centering scouting florastican images to prepare for s v sa tet workflow step twenty sip b st profment of s b e teoe without contrast to detept any early tecifvefifas workflow step tpenty step additional repairs option any maneuvers repuire to repar existing step graft based on vissius iddentified on poption d s a or se e worklow step fent shee renove emoval of shees,3.0892179012298584
huggingface_wav2vec2_large_libri_960h,American_Female_audiovoice_100_bgnoise_20.wav,American,Female,100,20,0.37565217391304345,workflow step one fusion registration axcess establishment registration of fusion one antero posterior and one lateral at ninety degrees la o projection flueroscapy images are needed to com plete registration workflo steptwo adjunctive embilization optional insertion of steerable sheeth deployment of the last embolic material workflow step three sheath insertion advancement of lundequist wire to the ascending yorda insertion of twenty four f ar sheet dry seal gore and pigtail catheter to the contrilateral limb and endograft insertion ipsilaterally workflow step four main body insertion insertion of penistrated main body device workflow step five deployment d s a d s a of the viseral and abdominal yorda to epict anatimy an adjustment of fusion mas wrkflow step six main body deployment partial deployment of the endo graft catheterization of the main body an advancement of dry seal and sterable sheet worflow step seven renal artery catharizations orientation of steerable sheath to renal penistration wosan wire advancement after confirmation of appropriate catharization workflow step eight superior mesenteric artery chaterization orientation of steerable sheath to s m a fenistration os n wire advancement after confirmation of appropriate catheteriation workflow step nine c t cathiterization orientation of steerable sheath to c t fenistration wrosan wire advancement after confirmation of appropriate athaterization workflow step ten graft release advancement of c t stent into position without deployment wrelease of proximal and distal endograpt attachments and reducing tiese workflow step elevene c a stent position of stent with four milimeter protruding into the yordic luman laring with ten milimeter balloon workflow sep twelve d s a of the c a selective d s a to confirm appropriate position of the bridging stent an exclude any endaleak or target vessel desection workflow step thirteen s m a stent advancement of the sm a stent and appropriate position flaring with ten milimetr balloon workflow step wourteen d s a of the s m a selectve d s a to confirm appropriate position of the bridging stent an exclude any endolik or target vessel desection workflw step sixtee renal steps advancement of the renal stent and appropriate position flaring with nine milimeter balloon workflow step sixteen d s a of the renals selective d s a to confirm appropriate position of the bridging stent an exclude any endaleik or target vessel desection workflow step steventeen byferketed graft insertion drawback of dry seal sheeth insertion of byferketed graft wrkflo step eighteen d s a for the detection of the i a selective d s to detect position of the ipsilateral i a workflo step nineteen bferketed graft deployment unsheath of byferketed endograft complete deployment workflow step twenty catheerisation of the l lim insertion of hydrophilic zero three five wire confirmation of c l catharization using moulding balloon workflow step twenty on d s a for the detection of c l i a selective d s a to detect position of the contrilatral i a workflow step twenty two c l lim insertion and deployment insertion of c l limb complete deployment of c ll lin workflow step twenty three moulding balloon advancement of moulding balloon to the ipsilateral lim moulding balloon at the distal part of the c ll limb wrkflow step twenty four completion d s a final d s a of the viseral abdominal yorda down to distal landing zones to confirm appropriate position of the endograft and bridging stent an ekfl presen sof any endalik workflow step twenty five c b c t centering scouting fluroscopy images to prepare for c b c te workflow step twenty six c b s t performance of c b c t without contrast to detect any early technical pitfalls workflow stp twenty seven additional repairs optional any manoeuvers required to repare existing stent graft based on issues iddenifyed on completion d s a or c b c t worklow step twenty eig sheath removal removal of sheats,3.109900712966919
huggingface_wav2vec2_large_libri_960h,American_Female_audiovoice_100_bgnoise_50.wav,American,Female,100,50,0.41043478260869565,workflow step one tusion registration axcess establishment registration of pesion one antero posterior and wone lateral at ninety degrees l a o projection fluroscap imagies are needed to con pet registration workflow step two adjunctive embilization optional insertion of steerable shee deployment of the last embolic material workflow step three sheep insertion advancement of munderquist wire to the ascending gorda insertion of twenty four ef ar shpdry seal gore and pigtaile caphiter to the contrilateral limb and endograft insertion ipsilatrally workflow step four main body insertion insertion of penestrated main body device workflow step five deployment d a d s of the viseral and abdominal gorda to depit anatimy and adjustment of fusion maals cal workflw step six main body deplepartial deployment of the endograft caphiterization of the main body and advancement of dry ceel and steerable shee workflow step seven renal artery cathierizations orientation of sterable sheet to renal penestration wosan wire advancement after confirmation of appropriate caphierization workflow step eight superior mesenteric artery caphiterization orientation of steerable sheet to sm a penestration wo nd wire advancement after confiration of appropriate cathitrization workflow step nine c t caphiterization orientation of steerble sheet to c t enestration wrosan wire advancement after confirmtion of appropriate ahiterization workflow step ten graft release advancement of c t stent into position without deployment release of proximal and distal endograpt attachments and reducing tise workflow step eleven c a stent position of stent with four mm protruding into the gordic lumin flaring with ten milimeter balloon workflow step twelve d s a of the c a selective d s a to confirm appropriate position of the bridging stent and exclude any endalek or target vessel desection workflow step thirteen s m a stent advancement of the sm a stent and appropriate position flaring with ten millimmeter balloon workflow step fourtee s a of the s m a selective d s a to confirm appropriate position of the bridging stent an exclude any endolak or target vessel desection workflow steptep renal stes abasp anal step step popriat position flaring with the imenameter balloon workflow step sixtee d sa of the renals celectev d s a to confirm appropriate position of the bridging stent an exclude any endalk or target vessel desection workflow step steventeen by ferketed grat insertion drawback of dry seal she insertion of by curketed graft orkflo step eighteen d s a for the detection of the i a selective di s to detect position of the ipsilateral i i a workflow step nineteen by firketed graft deployment unsheath of by perketed endograft complete deployment workflow step twenty caphiterisation of the c l lim insertion of hydrophilic zero three five wire confirmation of c l cathierization using moulding balloo workflow step twenty one d s a for the detection of c l i a selective d s a to detect position of the contrilatral i a workflow step twenty two c l lim insertion and deployment insertion of c l limb complete deployment of ell limb workflow step twenty three moulding balloon advancement of moulding balloon to the ipsilateral li moulding balloon at the distal part of the s l lim workflow step twenty four completion d s a final d s a of the viseral abdominal gorda down to distal landing zons to conirm appropriate position of the endograpt and bridging stet anekflowfresen s of any endalik workflow step twenty five c b c t centering scouting fluroscapy images to prepare for c b c t workflow step twenty six c b s t performence of c b t without contrast to detecpt any early technical pitfows workflow step twenty seven additional repairs optional any manoeuvers required to repare existing stet graft based on issues iddentified on com letion d sa or c bs t worklow step twenty ei sheep removal removal of shees,3.0549182891845703
