model,audio,accent,gender,audiovoice,bgnoise,error,transcription,transcribe_run_time_s
nvidia_parakeet_rnnt_0.6b,American_Female_audiovoice_05_bgnoise_05.wav,American,Female,05,05,0.37261698440207974,workflow step one fusion registration access stablish registration of fusion one anti posterior and one lateral at ninety degrees l a o j ross the images are needed to complete registration workflow step two adjunctive embolization optional insertion of steerable sheet deployment of the last embolic material workflow step three sheet insertion advancement of underquest wire to the ascending insertion of twenty four f r shield gore and pigtail catheter to the contra lateral limb and endorgraft insertion ipsilaterally workflow step for main body insertion insertion of fenestrated main body device workflow step five deployment d s a d s a of the visceral and abdominal order to depict anatomy and adjustment of fusion body partial deployment of the end of graft catheterization of the main body and advancement of dry and steerable she work flow steps renal artery catheterization orientation of steerable sheet to renal fenestration rose and wire advancement after confirmation of appropriate catheterization workflow step eight superior mesenteric artery catheterization orientation of steerable sheet to s m a fenestration rose and wire advancement after confirmation appropriate catheterization workflow step c t catheterization orientation of steerable sheet to c t fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step ten graft release advancement of c t stand into position without deployment release of proximal and distal end of graft attachments and reducing ties workflow step eleven stand position of stem or mm treating into the jordic lumen flaring with ten mm balloon workflow step twelve d s a of the ca selective d s a to confirm appropriate position of the bridging stand and exclude any end of leak or target vessel dissection workflow step thirteen s m a stent advancement of the s m a stent and appropriate position flaring ten year balloon workflow step forty d s a of the s m a selective d s a to confirm appropriate position of the bridging stent and exclude any end of leak or target vesseling workflow step sixty d s a of the renal active d s a position of the bridging stance and exclude any end of leak or target vessel dissection workflow step seventeen by forgetting graph insertion drawback of dry seal sheet insertion of bifurcated graft workflow step eight d s a for the detection of the i a selective d s a to detect position of the ipsilateral i work flow step nineteen by furcative graft deployment unsheath the bifurcated endograft complete deployment workflow step twenty catheterization of the c l insertion of hydrophilic zero three five wire confirmation of c l catheterization using molding balloon workflow step twenty one d s a for the detection of c l i selective d s a to detect position of the contrailateral i work flow step twenty two c lim insertion and deployment insertion of c l complete deployment workflow step twenty three molding balloon advancement of molding balloon to the ipsilateral molding balloon at the distal part of the c l workflow step twenty four completion d s a final d s a of the visceral abdominal down to distal landing zone to confirm appropriate position of the end of graft bridging stand and exclude presence of any workflow step twenty five c b c t centering scouting fluoroscopy images to prepare for c b c workflow step twenty six c b c t performance of c b c without contrast to detect any early technical workflow step twenty seven additional repairs optional any maneuvers required to repair existing step graft based on issues identified on the essay or c t workflow step twenty eight sheet removal removal of she,1.643692970275879
nvidia_parakeet_rnnt_0.6b,American_Female_audiovoice_05_bgnoise_10.wav,American,Female,05,10,0.4748700173310225,workflow step one fusion registration access registration one anti degree step two adjunctive embolization option insertion of steerable sheet deployment of the last three sheet advancement of underpris wire to the ascending insertion twenty four dry seal gore and pigtail catheter to the contralateral limb and endorphin insertion ipsilaterally workflow step four main body insertion insertion of venestrated main body device workflow step five deployment ds a dsa visceral anatomy and adjustment of the end of catheterization of the main body steerable she workflow steps renal artery catheterization orientation of sheet to renal fenestration rose and wire advancement after confirmation of workflow step superior mesenteric army catheterization orientation of steerable sheet straight rosen wire advancement after competitive catheterization catheterization orientation of steerable sheet to c t venestration rose and wire advancement after confirmation of appropriate catheterization workflow step ten graft release advancement of c t stand into position without release of proximal and distal end attachments and reducing ties workflow step eleven position of treating into the flaring with ten mm twelve d s a of the ca selective d s a to confirm appropriate position of the bridging stand and exclude any end of leak or target section workflow step thirteen s m a step advancement of the s m a stand and appropriate position flaring d s a selective d s a to confirm appropriate position of the bridging stent and exclude any end of target d s a of the position of the bridging and exclude any target seventeen bifurcated drawback of dry seal sheet insertion of bifurcated graft workflow step d s a for the detection of the i a selective to detect position of the ipsilateral workflow step nineteen bifurcated graph unsheath the bifurcated endograph complete deployment workflow step twenty catheterization of the c l insertion of hydrophilic zero three five wire confirmation of c l catheterization using molding workflow step twenty d s a for the detection of c l i selective d s a to detect position of the contralateral workflow step twenty two c lim insertion and deployment insertion of complete deployment workflow step twenty three molding balloon advancement of molding balloon to the ipsilateral molding balloon at the distal part of the c l workflow step twenty completion d s a final d s a of the visceral abdominal down to distal landing to confirm appropriate position and exclude presence scouting fluoroscopy to prepare for circlo step twenty cvc without contrast to detect any additional repairs option any maneuvers required to repair existing step based on issues identified removal,1.3913328647613525
nvidia_parakeet_rnnt_0.6b,American_Female_audiovoice_05_bgnoise_100.wav,American,Female,05,100,1.0,,1.3086755275726318
nvidia_parakeet_rnnt_0.6b,American_Female_audiovoice_05_bgnoise_20.wav,American,Female,05,20,1.0,,1.3085875511169434
nvidia_parakeet_rnnt_0.6b,American_Female_audiovoice_05_bgnoise_50.wav,American,Female,05,50,1.0,,1.2987895011901855
nvidia_parakeet_rnnt_0.6b,American_Female_audiovoice_100_bgnoise_05.wav,American,Female,100,05,0.01559792027729636,workflow step one fusion registration access establishment registration of fusion one anteroposterior and one lateral at ninety degrees lao projection fluoroscopy images are needed to complete registration workflow step two adjunctive embolization optional insertion of steerable sheath deployment of the last embolic material workflow step three sheath insertion advancement of lunderquist wire to the ascending yorda insertion of twenty four fr sheath dry seal gore and pigtail catheter to the contralateral limb and endograft insertion ipsilaterally workflow step four main body insertion insertion of fenestrated main body device workflow step five deployment dsa dsa of the visceral and abdominal yorda to depict anatomy and adjustment of fusion mask workflow step six main body deployment partial deployment of the endograft catheterization of the main body and advancement of dry seal and steerable sheath workflow step seven renal artery catheterizations orientation of steerable sheath to renal fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step eight superior mesenteric artery catheterization orientation of steerable sheath to sma fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step nine ct catheterization orientation of steerable sheath to ct fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step ten graft release advancement of ct stent into position without deployment release of proximal and distal endograft attachments and reducing ties workflow step eleven ca stent position of stent with four mm protruding into the yortic lumen flaring with ten mm balloon workflow step twelve dsa of the ca selective dsa to confirm appropriate position of the bridging stent and exclude any endoleque or target vessel dissection workflow step thirteen sma stent advancement of the sma stent and appropriate position flaring with ten mm balloon workflow step fourteen dsa of the sma selective dsa to confirm appropriate position of the bridging stent and exclude any endoleque or target vessel dissection workflow step fifteen renal stents advancement of the renal stent and appropriate position flaring with nine mm balloon workflow step sixteen dsa of the renals selective dsa to confirm appropriate position of the bridging stent and exclude any endoleque or target vessel dissection workflow step seventeen bifurcated graft insertion drawback of dry seal sheath insertion of bifurcated graft workflow step eighteen dsa for the detection of the iia selective dsa to detect position of the ipsilateral iia workflow step nineteen bifurcated graft deployment unsheath of bifurcated endograft complete deployment workflow step twenty catheterization of the cl limb insertion of hydrophilic zero three five wire confirmation of cl catheterization using molding balloon workflow step twenty one dsa for the detection of cl iia selective dsa to detect position of the contralateral iia workflow step twenty two cl limb insertion and deployment insertion of cl limb complete deployment of cl limb workflow step twenty three molding balloon advancement of molding balloon to the ipsilateral limb molding balloon at the distal part of the cl limb workflow step twenty four completion dsa final dsa of the visceral abdominal yorda down to distal landing zones to confirm appropriate position of the endograft and bridging stent and exclude presence of any endoleque workflow step twenty five cbct centering scouting fluoroscopy images to prepare for cbct workflow step twenty six cbct performance of cbct without contrast to detect any early technical pitfalls workflow step twenty seven additional repairs optional any maneuvers required to repair existing stent graft based on issues identified on completion dsa or cbct workflow step twenty eight sheath removal removal of sheaths,1.4333531856536865
nvidia_parakeet_rnnt_0.6b,American_Female_audiovoice_100_bgnoise_10.wav,American,Female,100,10,0.019064124783362217,workflow step one fusion registration access establishment registration of fusion one antero posterior and one lateral at ninety degrees lao projection fluoroscopy images are needed to complete registration workflow step two adjunctive embolization optional insertion of steerable sheath deployment of the last embolic material workflow step three sheath insertion advancement of lunderquist wire to the ascending yorda insertion of twenty four fr sheath dry seal gore and pigtail catheter to the contralateral limb and endograft insertion ipsilaterally workflow step four main body insertion insertion of fenestrated main body device workflow step five deployment dsa dsa of the visceral and abdominal yorda to depict anatomy and adjustment of fusion mask workflow step six main body deployment partial deployment of the endograft catheterization of the main body and advancement of dry seal and steerable sheath workflow step seven renal artery catheterizations orientation of steerable sheath to renal fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step eight superior mesenteric artery catheterization orientation of steerable sheath to sma fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step nine ct catheterization orientation of steerable sheath to ct fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step ten graft release advancement of ct stent into position without deployment release of proximal and distal endograft attachments and reducing ties workflow step eleven ca stent position of stent with four mm protruding into the yortic lumen flaring with ten mm balloon workflow step twelve dsa of the ca selective dsa to confirm appropriate position of the bridging stent and exclude any endoleque or target vessel dissection workflow step thirteen sma stent advancement of the sma stent and appropriate position flaring with ten mm balloon workflow step fourteen dsa of the sma selective dsa to confirm appropriate position of the bridging stent and exclude any endoleque or target vessel dissection workflow step fifteen renal stents advancement of the renal stent and appropriate position flaring with nine mm balloon workflow step sixteen dsa of the renals selective dsa to confirm appropriate position of the bridging stent and exclude any endoleque or target vessel dissection workflow step seventeen bifurcated graft insertion drawback of dry seal sheath insertion of bifurcated graft workflow step eighteen dsa for the detection of the iia selective dsa to detect position of the ipsilateral iia workflow step nineteen bifurcated graft deployment unsheath of bifurcated endograft complete deployment workflow step twenty catheterization of the cl limb insertion of hydrophilic zero three five wire confirmation of cl catheterization using molding balloon workflow step twenty one dsa for the detection of cl iia selective dsa to detect position of the contralateral iia workflow step twenty two cl limb insertion and deployment insertion of cl limb complete deployment of cl limb workflow step twenty three molding balloon advancement of molding balloon to the ipsilateral limb molding balloon at the distal part of the cl limb workflow step twenty four completion dsa final dsa of the visceral abdominal yorda down to distal landing zones to confirm appropriate position of the endograft and bridging stent and exclude presence of any endoleque workflow step twenty five cbct centering scouting fluoroscopy images to prepare for cbct workflow step twenty six cbct performance of cbct without contrast to detect any early technical pitfalls workflow step twenty seven additional repairs optional any maneuvers required to repair existing stent graft based on issues identified on completion dsa or cbct workflow step twenty eight sheath removal removal of sheaths,1.453409194946289
nvidia_parakeet_rnnt_0.6b,American_Female_audiovoice_100_bgnoise_100.wav,American,Female,100,100,0.3344887348353553,workflow step one fusion registration access stablish registration of fusion one anthroposterior and one lateral at ninety degrees l a o projection fluoroscopy images are needed to complete registration workflow step two adjunctive embolization optional insertion of steerable sheet deployment of the last embolic material workflow step three sheet insertion advancement of underquist wire to the ascending insertion of twenty four f r dry seal gore and pigtail catheter to the contralateral limb and endograph insertion ipsilaterally workflow step for main body insertion insertion of fenestrated main body device workflow step five deployment d s a d s a of the visceral and abdominal to depict anatomy and adjustment of fusion massive deployment of the end of graft catheterization of the main body and advancement of dry seal and steerable she workflow step seven renal artery catheterization orientation of steerable sheet to renal fenestration rose and wire advancement after confirmation of appropriate catheterization workflow step eight superior mesenteric artery catheterization orientation of steerable sheet to s m a fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step c t catheterization orientation of steerable sheet to c t fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step ten graft release advancement of c t stand into position without deployment release of proximal and distal endographic attachments and reducing ties flow step eleven captain position of stem or mm treating into the jordic lumen flaring with ten mm balloon workflow step twelve d s a of the ca selective d s a to confirm appropriate position of the bridging stent and exclude any end of leak or target vessel dissection workflow step thirteen s m a stent advancement of the s m a stent and appropriate position flaring ten mm balloon workflow step fourteen d s a of the s m a selective d s a to confirm appropriate position of the bridging stent and exclude any end of leak or target vesseling workflow step sixteen d s a of the renal active d s a position of the bridging stent and exclude any end of leak or target vessel dissection workflow step seventeen bifurcated graft insertion drawback of dry seal sheet insertion of bifurcated graft workflow step eight d s a for the detection of the i a selective d s a to detect position of the ipsilateral i work flow step nineteen by furcative graft deployment unsheath the bifurcated endograft complete deployment workflow step twenty catheterization of the c limb insertion of hydrophilic zero three five wire confirmation of c l catheterization using molding balloon workflow step twenty one d s a for the detection of c l i a selective d s a to detect position of the contrailateral i work flow step twenty two c limb insertion and deployment insertion of c limb complete deployment workflow step twenty three molding balloon advancement of molding balloon to the ipsilateral molding balloon at the distal part of the c l workflow step twenty four completion d s a final d s a of the visceral abdominal down to distal landing zones to confirm appropriate position of the end of graft bridging and exclude presence of any workflow step twenty five c b c t centering scouting fluoroscopy images to prepare for c b c workflow step twenty six c b c t performance of c b c t without contrast to detect any early technical workflow step twenty seven additional repairs optional any maneuvers required to repair existing stent graft based on issues identified on completion d s a or c b c workflow step twenty eight sheet removal removal of she,1.4204981327056885
nvidia_parakeet_rnnt_0.6b,American_Female_audiovoice_100_bgnoise_20.wav,American,Female,100,20,0.019064124783362217,workflow step one fusion registration access establishment registration of fusion one antero posterior and one lateral at ninety degrees lao projection fluoroscopy images are needed to complete registration workflow step two adjunctive embolization optional insertion of steerable sheath deployment of the last embolic material workflow step three sheath insertion advancement of lunderquist wire to the ascending yorda insertion of twenty four fr sheath dry seal gore and pigtail catheter to the contralateral limb and endograft insertion ipsilaterally workflow step four main body insertion insertion of fenestrated main body device workflow step five deployment dsa dsa of the visceral and abdominal yorda to depict anatomy and adjustment of fusion mask workflow step six main body deployment partial deployment of the endograft catheterization of the main body and advancement of dry seal and steerable sheath workflow step seven renal artery catheterizations orientation of steerable sheath to renal fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step eight superior mesenteric artery catheterization orientation of steerable sheath to sma fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step nine ct catheterization orientation of steerable sheath to ct fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step ten graft release advancement of ct stent into position without deployment release of proximal and distal endograft attachments and reducing ties workflow step eleven ca stent position of stent with four mm protruding into the yordic lumen flaring with ten mm balloon workflow step twelve dsa of the ca selective dsa to confirm appropriate position of the bridging stent and exclude any endoleque or target vessel dissection workflow step thirteen sma stent advancement of the sma stent and appropriate position flaring with ten mm balloon workflow step fourteen dsa of the sma selective dsa to confirm appropriate position of the bridging stent and exclude any endoleque or target vessel dissection workflow step fifteen renal stents advancement of the renal stent and appropriate position flaring with nine mm balloon workflow step sixteen dsa of the renals selective dsa to confirm appropriate position of the bridging stent and exclude any endoleque or target vessel dissection workflow step seventeen bifurcated graft insertion drawback of dry seal sheath insertion of bifurcated graft workflow step eighteen dsa for the detection of the iia selective dsa to detect position of the ipsilateral iia workflow step nineteen bifurcated graft deployment unsheath of bifurcated endograft complete deployment workflow step twenty catheterization of the cl limb insertion of hydrophilic zero three five wire confirmation of cl catheterization using molding balloon workflow step twenty one dsa for the detection of cl iia selective dsa to detect position of the contralateral iia workflow step twenty two cl limb insertion and deployment insertion of cl limb complete deployment of cl limb workflow step twenty three molding balloon advancement of molding balloon to the ipsilateral limb molding balloon at the distal part of the cl limb workflow step twenty four completion dsa final dsa of the visceral abdominal yorda down to distal landing zones to confirm appropriate position of the endograft and bridging stent and exclude presence of any endoleque workflow step twenty five cbct centering scouting fluoroscopy images to prepare for cbct workflow step twenty six cbct performance of cbct without contrast to detect any early technical pitfalls workflow step twenty seven additional repairs optional any maneuvers required to repair existing stent graft based on issues identified on completion dsa or cbct workflow step twenty eight sheath removal removal of sheaths,1.4423246383666992
nvidia_parakeet_rnnt_0.6b,American_Female_audiovoice_100_bgnoise_50.wav,American,Female,100,50,0.1923743500866551,workflow step one fusion registration access establishment registration of fusion one antero posterior and one lateral at ninety degrees l a o projection fluoroscopy images are needed to complete registration workflow step two adjunctive embolization optional insertion of steerable sheet deployment of the last embolic material workflow step three sheath insertion advancement of lunderquist wire to the ascending insertion of twenty four f r sheet dry seal gore and pigtail catheter to the contralateral limb and endograph insertion ipsilaterally workflow step four main body insertion insertion of fenestrated main body device workflow step five deployment dsa dsa of the visceral and abdominal yorda to depict anatomy and adjustment of fusion mask workflow step six main body deployment partial deployment of the endograft catheterization of the main body and advancement of dry seal and steerable she workflow step seven renal artery catheterizations orientation of steerable sheath to renal fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step eight superior mesenteric artery catheterization orientation of steerable sheath to s m a fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step nine c t catheterization orientation of steerable sheath to c t fenestration rosen wire advancement after confirmation of appropriate catheterization workflow step ten graft release advancement of c t stand into position without deployment release of proximal and distal endograph attachments and reducing ties workflow step eleven ca stent position of stent with four mm protruding into the jordic lumen flaring with ten mm balloon workflow step twelve d s a of the ca selective dsa to confirm appropriate position of the bridging stent and exclude any endolyk or target vessel dissection workflow step thirteen s m a stent advancement of the s m a stent and appropriate position flaring with ten mm balloon workflow step fourteen d s a of the s m a selective dsa to confirm appropriate position of the bridging stent and exclude any endolyte or target vessel dissection workflow step renal stent appropriate position flaring with nine mm balloon workflow step sixteen d s a of the renals selective d s a to confirm appropriate position of the bridging stent and exclude any end of leak or target vessel dissection workflow step seventeen bifurcated graft insertion drawback of dry seal she insertion of bifurcated graft workflow step eighteen d s a for the detection of the iia selective d s a to detect position of the ipsilateral iia work flow step nineteen bifurcated graft deployment unsheath of bifurcated endograft complete deployment workflow step twenty catheterization of the c limb insertion of hydrophilic zero three five wire confirmation of c l catheterization using molding balloon workflow step twenty one d s a for the detection of c l i a selective dsa to detect position of the contrailateral iia work flow step twenty two c l limb insertion and deployment insertion of c l limb complete deployment of workflow step twenty three molding balloon advancement of molding balloon to the ipsilateral limb molding balloon at the distal part of the c limb workflow step twenty four completion dsa final dsa of the visceral abdominal yorda down to distal landing zones to confirm appropriate position of the endograft and bridging stent and exclude presence of any end workflow step twenty five c b c t centering scouting fluoroscopy images to prepare for c b c t workflow step twenty six c b c t performance of c b c t without contrast to detect any early technical pitfalls workflow step twenty seven additional repairs optional any maneuvers required to repair existing stent graft based on issues identified on completion dsa or c b c t workflow step twenty eight sheath removal removal of sheath,1.466423511505127
