model,audio,accent,gender,audiovoice,bgnoise,error,transcription,transcribe_run_time_s
base.en.pt,American_Female_audiovoice_05_bgnoise_05.wav,American,Female,05,05,0.11478260869565217,workflow step one fusion registration access establishment registration of fusion one enteroposterior and one lateral at ninety degrees lao projection fluoroscopy images are needed to complete registration workflow step two a junctive embolization optional insertion of steerable sheath deployment of the last embolic material workflow step three sheath insertion advancement of londerquist wire to the ascending yorda insertion of twenty four fr sheath dry seal gore and pigtail catheter to the contralateral limb and endograft insertion ipsilaterally workflow step four main body insertion insertion of fenestrated main body device workflow step five deployment dsa dsa of the visceral and abdominal yorda to depict anatomy and adjustment of fusion mass workflow step six main body deployment partial deployment of the endograft catheterization of the main body and advancement of dry seal and steerable sheath workflow step seven renal artery catheterizations orientation of steerable sheath to renal finester belfast nineteen oh two manners and wire advancement after confirmation compliments cattlearization workflow up eight superior mesenteric artery catheterization orientation upstairs welcome to this kitchen see the compassionision heading reach dry rosen wire advancement after confirmation of appropriate catheterization workflow step ten graft release advancement of cts stand into position without deployment release of proximal and distal endographed attachments and reducing ties workflow step eleven ca stent position of stent with four mm protruding into the jordan gloomon flaring with ten mm balloon workflow step twelve dsa of the ca selective dsa to confirm appropriate position of the bridging stent and exclude any endelique or target vessel dissection workflow step thirteen sma stent advancement of the sma stent and appropriate position flaring with ten mm balloon workflow step fourteen dsa of the sma selective dsa to confirm appropriate position of the bridging stent and exclude any endelique or target vessel dissection workflow step thirteen renal stent advancement of the renal stent and appropriate position flaring with ten mm balloon workflow step sixteen dsa of the renal selective dsa to confirm appropriate position of the bridging stent and exclude any endelique or target vessel dissection workflow step seventeen bifurcated grafted insertion drawback of dry seal sheet insertion of bifurcated graft workflow step eighteen dsa for the detection of the iia selective dsa to detect position of the ipsilateral iia workflow step nineteen bifurcated graft deployment uncheath of bifurcated endograft complete deployment workflow step twenty catherization of the cl limb insertion of hydrophilic zero three five wire confirmation of cl catheterization using molding balloon workflow step twenty one dsa for the detection of cl iia selective dsa to detect position of the contralateral iia workflow step twenty two cl limb insertion and deployment insertion of cl limb complete deployment of cl limb workflow step twenty three molding balloon advancement of molding balloon to the ipsilateral limb molding balloon at the distal part of the cl limb workflow step twenty four completion dsa final dsa of the visceral abdominal yorda down to distal landing zones to confirm appropriate position of the endograft and bridging stent and exclude presence of any endleak workflow step twenty five cbct centering scouting fluoroscopy images to prepare for cbct workflow step twenty six cbct performance of cbct without contrast to detect any early technical pitfalls workflow step twenty seven additional repairs optional any maneuvers required to repair existing stent graft based on issues identified on confucian dsa or cbct workflow step twenty eight sheath removal removal of she is,3.7543673515319824
base.en.pt,American_Female_audiovoice_05_bgnoise_10.wav,American,Female,05,10,0.20173913043478262,workflow step one fusion registration access establishment registration of fusion one enter of posterior and one labidil at ninety degrees lio projection fluoroscopy images are needed to complete registration workflow step two adjunctive embolization option insertion of steerable sheep deployment of the last involved material workflow step three sheep insertion advancement of one de quist wire to the ascending borehole insertion of twenty four affirm dry seal gore and pigtail catheter to the contralateral limb and endographed insertion ipsilaterally workflow step four main body insertion insertion of fenestrated main body device workflow step five deployment dsa dsa of the visceral and abnormal to the anatomy of the fusion path workflow step main body device partial deployment of the endographed catheterization of the main body and advance ipsilaterally dry steel and steerable sheep workflow step seven renal artery catheterization orientation of steerable sheep to renal fenestration rose and wire advancement after confirmation of open catheterization workflow step eight superior mesenteric artery catheterization orientation of steerable sheep to sma fenestration rose and wire advancement after confirmation of appropriate catheterization workflow step eight ct catheterization orientation of steerable sheep to ct fenestration rose and wire advancement after confirmation of appropriate catheterization workflow step ten graft release advancement of ct stand into position without deranged release of proximal and distal endographed attachments and reducing ties workflow step eleven ct cpa stand position of stand four mm protruding into the jordan movement flaring with ten mm balloon workflow step twelve dsa of the ca selective dsa to confirm appropriate position of the bridging stand and exclude any endelique or target vessel dissection workflow step thirteen sma stent advancement of the sma stent and appropriate position flaring of ten mm balloon workflow step four to four dsa of the sma selective dsa to confirm appropriate position of the bridging stand and exclude any endelink or target vessel dissection workflow step eight three four four four four four four grakysdchenki sm noise group flaring at ten years straight workflow step sixteen dsa of the range bacon covariance interactive dsa to confirm appropriate position of the bridging stand and exclude any endelique or target vessel dissection workflow step seventeen bifurcated graft assertion drawback of dry seal sheet insertion of bifurcated graft workflow step eighteen dsa for the detection of the iia the detection of the iia selected dsa to detect position of the ipsilateral iia workflow step nineteen bifurcated graft deployment unsheathed bifurcated endo graft complete deployment workflow step twenty capitalization of the cll in insertion of hydrophilic zero three five wire confirmation of cl capitalization using molding balloon workflow step twenty one dsa for the detection of cl iia selected dsa to detect position of the contralateral iia workflow step twenty two cl limb insertion and deployment insertion of cl limb complete deployment of cll limb workflow step twenty three molding balloon advancement of molding balloon to the ipsilateral limb molding balloon at the distal part of the cll limb workflow step twenty four completion dsa final dsa of the visceral abdominal yorda down to distal landing zones to confirm appropriate position of the endo graft and bridging stand and exclude presence of any endo leak workflow step twenty five cbct centering scouting floroscopy images to prepare for cbct workflow step twenty six cbct performance of cbct without contrast to detect any early technical pitfalls workflow step twenty seven additional repairs optional any maneuvers required to repair existing step graft based on issues identified on completion dsa or cbct workflow step twenty eight she flirting on removal of she is,5.286284923553467
base.en.pt,American_Female_audiovoice_05_bgnoise_100.wav,American,Female,05,100,0.9582608695652174,pomp and circumstancekson three molding balloon advancement to molding balloon to the ipsilateral molding balloon at the distal heart of the cla were close to f dot two four completion dfa final dfa of the dfa were close to f dot two four afa were close to f dot two four afa were close to f dot two four afa were close to f dot two four afa were close to f dot two four afa were close to f dot two four afa,6.124786615371704
base.en.pt,American_Female_audiovoice_05_bgnoise_20.wav,American,Female,05,20,0.8104347826086956,work those down on that change and registration act like the establishment registration is finished one and four minutes to begin and one round of them are in the middle of the instruction we lost the message i made it to that we lost the message work those down to a giant de competization option insertion as to the machine deployment of the class and the alphabet work those down to begin the machine is finished advancement of one that is quiet to you something is finished insertion is twenty four hours strike the board the detail captured to the contralateral room and your grasp insertion it is elaborate work those down to the corner we need an eye insertion and one desertion of the ministry that we invite to find work those down to the corner the end the end the end the end the end the end the end of the history that we got it started the end you can see the floor and if you need a couple you dont want you to hear whatts out there the final stand perfection is finished work close to ct capitalization orientation of sterile sheep to ct demonstration frozen wire advancement after complement of appropriate capitalization or work close step ten graph release advancement of ct extension of position without direct release of proximal and distal and direct attachments to receive safe times work close steps level of improvement in ct position of the dead and the dead treating it to the door to the men flaring with ten mm pull and the floor of c two dsa of the ca selective dsa to confirm appropriate position of the bridging stand and exclude any end to link or target based perception work close step thirteen sma stand advancement of the sma stand and appropriate position glaring at ten mm pull dsa sma selective dsa to confirm appropriate position of the bridging stand and exclude any end to link or target based perception work close step thirteen sma stand and appropriate position of the dsa organization of c l in insertion of hydrophilic zero three five wire confirmation of c l capitalization using molding molding work close step twenty psa detection of c l i a s l i a s l a s a to detect position of the contralateral iia work close step twenty two c l l a c l insertion of c l l complete deployment of the s l l work close step twenty three molding balloon advancement of molding balloon to the ipsilateral limb molding balloon at the distant part of the c l l l work close step twenty four completion dsa final dsa of the visceral abdominal gorda down to distal landing zones to confirm appropriate position of the end to ground and bridging stand and exclude presence of any end to link work close step twenty five cbct centering scalding fluid oxygen in the dust from the air for study study study study work close step twenty cbnct perform the x d n s t l without contact to the test and the only test of the best of the best of the best work close step twenty four additional repairs option dsa any members required to receive a consistent step draft based on issues and damage on a completion dsa of the best of the best of the best work close step twenty four c l l a c l a c l,5.784316301345825
base.en.pt,American_Female_audiovoice_05_bgnoise_50.wav,American,Female,05,50,0.9982608695652174,all right okay okay are you ready okay okay are you ready okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay okay,2.296535015106201
base.en.pt,American_Female_audiovoice_100_bgnoise_05.wav,American,Female,100,05,0.1391304347826087,workflow step one fusion registration access establishment registration of fusion one antaroposterior and one lateral at ninety degrees lao projection fluoroscopy images are needed to complete registration workflow step two adjunctive embolization optional insertion of steerable sheath deployment of the last embolic material workflow step three sheath insertion workflow step four main body insertion insertion of fenestrated main body device workflow step five deployment dsa dsa of the visceral and abdominal yorda to depict anatomy and adjustment of fusion mask workflow step six deployment of fusion mask and the first one the first one the first one the first one the first one the first one the first one the first one the first fusion mask workflow step six main body deployment partial deployment of the endograft catheterization of the main body and advancement of dry seal and steerable sheath workflow step seven renal artery catheterizations orientation of steerable sheath to renal fenestration rose and wire advancement after confirmation of appropriate catheterization workflow step eight superior mesenteric artery catheterization orientation of steerable sheath to sma fenestration rose and wire advancement after confirmation of appropriate catheterization workflow step nine ct catheterization orientation of steerable sheath to ct fenestration rose and wire advancement after confirmation of appropriate catheterization workflow step ten graft release advancement of ct stand into position without deployment release of proximal and distal endograft attachments and reducing ties workflow step eleven ca stand position of stand with four mm protruding into the eortic lumen flaring with ten mm balloon workflow step twelve dsa of the ca selective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step thirteen sma stent advancement of the sma stent and appropriate position flaring with ten mm balloon workflow step fourteen dsa of the sma selective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step fifteen renal stents advancement of the renal stent and appropriate position flaring with nine mm balloon workflow step sixteen dsa of the reenals selective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step seventeen bifurcated graft insertion drawback of dry seal sheath insertion of bifurcated graft workflow step eighteen dsa for the detection of the iia selective dsa to detect position of the ipsilateral iia workflow step nineteen bifurcated graft deployment unsheath of bifurcated endograft complete deployment workflow step twenty catheterization of the cl limb insertion of hydrophilic zero three five wire confirmation of cl catheterization using molding balloon workflow step twenty one dsa for the detection of cl iia selective dsa to detect position of the contralateral iia workflow step twenty two cl limb insertion and deployment insertion of cl limb complete deployment of cl limb workflow step twenty three molding balloon advancement of molding balloon to the ipsilateral limb molding balloon at the distal part of the cl limb workflow step twenty four completion dsa final dsa of the visceral abdominal yorda down to distal landing zones to confirm appropriate position of the endograft and bridging stent and exclude presence of any endolique workflow step twenty five cbct centering scouting fluoroscopy images to prepare for cbct workflow step twenty six cbct performance of cbct without contrast to detect any early technical pitfalls workflow step twenty seven additional repairs optional any maneuvers required to repair existing stent graft based on issues identified on completion dsa or cbct workflow step twenty eight sheath removal removal of sheaths,2.5124359130859375
base.en.pt,American_Female_audiovoice_100_bgnoise_10.wav,American,Female,100,10,0.043478260869565216,workflow step one fusion registration access establishment registration of fusion one antaroposterior and one lateral at ninety degrees lao projection fluoroscopy images are needed to complete registration workflow step two adjunctive embolization optional insertion of steerable sheath deployment of the last embolic material workflow step three sheath insertion end of londerquist wire to the ascending yorda insertion of twenty four fr sheath dry seal gore and pigtail catheter to the contralateral limb and endograft insertion ipsilaterally workflow step four main body insertion insertion of fenestrated main body device workflow step five deployment dsa dsa of the visceral and abdominal yorda to depict anatomy and adjustment of fusion mask workflow step six main body deployment partial deployment of the endograft catherization of the main body and advancement of dry seal and steerable sheath workflow step seven renal artery catheterizations orientation of steerable sheath to renal fenestration rose and wire advancement after confirmation of appropriate catheterization workflow step eight superior mesenteric artery catheterization orientation of steerable sheath to sma fenestration rose and wire advancement after confirmation of appropriate catheterization workflow step nine ct catheterization orientation of steerable sheath to ct fenestration rose and wire advancement after confirmation of appropriate catheterization workflow step ten graft release advancement of ct stand into position without deployment release of proximal and distal endograft attachments and reducing ties workflow step eleven ca stent position of stent with four mm protruding into the yordic lumen flaring with ten mm balloon workflow step twelve dsa of the ca selective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step thirteen sma stent advancement of the sma stent and appropriate position flaring with ten mm balloon workflow step fourteen dsa of the sma selective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step fifteen renal stents advancement of the renal stent and appropriate position flaring with nine mm balloon workflow step sixteen dsa of the reynolds selective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step seventeen bifurcated graft insertion drawback of dry seal sheath insertion of bifurcated graft workflow step eighteen dsa for the detection of the iia selective dsa to detect position of the ipsilateral iia workflow step nineteen bifurcated graft deployment unsheathed bifurcated endograft complete deployment workflow step twenty catheterization of the cl limb insertion of hydrophilic zero three five wire confirmation of cl catheterization using molding balloon workflow step twenty one dsa for the detection of cl iia selective dsa to detect position of the contralateral iia workflow step twenty two cl limb insertion and deployment insertion of cl limb complete deployment of cl limb workflow step twenty three molding balloon advancement of molding balloon to the ipsilateral limb molding balloon at the distal part of the cl limb workflow step twenty four completion dsa final dsa of the visceral abdominal yorda down to distal landing zones to confirm appropriate position of the endograft and bridging stent and exclude presence of any endolique workflow step twenty five cbct centering scouting fluoroscopy images to prepare for cbct workflow step twenty six cbct performance of cbct without contrast to detect any early technical pitfalls workflow step twenty seven additional repairs optional many maneuvers required to repair existing stent graft based on issues identified on completion dsa or cbct workflow step twenty eight sheath removal removal of sheaths,2.341770887374878
base.en.pt,American_Female_audiovoice_100_bgnoise_100.wav,American,Female,100,100,0.09565217391304348,workflow step one fusion registration access establishment registration of fusion one enteroposterior and one lateral at ninety degrees lao projection fluoroscopy images are needed to complete registration workflow step two adjunctive embolization optional insertion of steerable sheep deployment of the last embolic material workflow step three sheath insertion advancement of londroquist wire to the ascending yorda insertion of twenty four fr sheath dry seal gore and pigtail catheter to the contralateral limb and endograft insertion ipsilaterally workflow step four main body insertion insertion of fenestrated main body device workflow step five deployment dsa dsa of the visceral and abdominal porta to depict anatomy and adjustment of fusion mask workflow step six main body deployment partial deployment of the endograft catheterization of the main body and advancement of dry seal and steerable sheep workflow step seven renal artery catheterization orientation of steerable sheep to renal fenestration rose and wire advancement after confirmation of appropriate catheterization workflow step eight superior mesenteric artery catheterization orientation of steerable sheep to sma fenestration rose and wire advancement after confirmation of appropriate catheterization workflow step nine ct catheterization orientation of steerable sheep to ct fenestration rose and wire advancement after confirmation of appropriate catheterization workflow step ten graft release advancement of ct stand into position without deployment advancement of rotation of rotation of rotation of rotation of rotation workflow step eleven ca stent position of stents with four mm protruding into the eortic lumen flaring with ten mm balloon workflow step twelve dsa of the ca selective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step fifteen renal stents advanced into the renal stents and appropriate position flaring with ten mm balloon workflow step fourteen dsa of the sma selective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step fifteen renal stents advanced into the renal stents and appropriate position flaring with nine mm balloon workflow step sixteen dsa of the renal collective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step seventeen bifurcated grafted gersion drawback of dry seal sheet insertion of bifurcated grafted workflow step eighteen dsa for the detection of the iia selective dsa to detect position of the ipsilateral iia workflow step nineteen bifurcated graft deployment unsheath of bifurcated endograft complete deployment workflow step twenty catheterization of the cl limb insertion of hydrophilic zero three five wire confirmation of cl catheterization using molding balloon workflow step twenty one dsa for the detection of cl iia selective dsa to detect position of the contralateral iia workflow step twenty two cl limb insertion and deployment insertion of cl limb complete deployment of cl limb workflow step twenty three molding balloon advancement of molding balloon to the ipsilateral limb molding balloon at the distal part of the cl limb workflow step twenty four completion dsa final dsa of the visceral abdominal yorda down to distal landing zones to confirm appropriate position of the endograft and bridging stent and exclude presence of any endolique workflow step twenty five cbct centering scouting fluoroscopy images to prepare for cbct workflow step twenty six cbct performance of cbct without contrast to detect any early technical pitfalls workflow step twenty seven additional repairs optional many maneuvers required to repair existing stent graft based on issues identified on completion dsa or cbct workflow step twenty eight sheath removal removal of she is,2.3465819358825684
base.en.pt,American_Female_audiovoice_100_bgnoise_20.wav,American,Female,100,20,0.07478260869565218,workflow step one fusion registration access establishment registration of fusion one antaroposterior and one lateral at ninety degrees lao projection fluoroscopy images are needed to complete registration workflow step two adjunctive embolization optional insertion of stirible sheath deployment of the last embolic material workflow step three sheath insertion advancement of lunderquist wire to the ascending yorda insertion of twenty four fr sheath dry seal gore and pigtail cather to the contralateral lim and endograft insertion ipsilaterally workflow step four main body insertion insertion of fenestrated main body device workflow step five deployment dsa dsa of the visceral and abdominal yorda to depict anatomy and adjustment of fusion mask workflow step six main body deployment partial deployment of the endograft catherization of the main body and advancement of dry seal and stirible sheath workflow step seven renal artory catherizations orientation of stirible sheath to renal fenestration rose and wire advancement after confirmation of appropriate catherization workflow step eight superior mesenteric artory catherization orientation of stirible sheath to sma fenestration rose and wire advancement after confirmation of appropriate catherization workflow step nine ct catherization orientation of stirible sheath to ct fenestration rose and wire advancement after confirmation of appropriate catherization workflow step ten graft release advancement of ct stent into position without deployment release of proximal and distal endograft attachments and reducing ties workflow step eleven ca stent position of stent with four mm protruding into the yordic loomin flaring with ten mm balloon workflow step twelve dsa of the ca selective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step thirteen sma stent advancement of the sma stent and appropriate position flaring with ten mm balloon workflow step fourteen dsa of the sma selective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step fifteen renal stents advancement of the renal stent and appropriate position flaring with nine mm balloon workflow step sixteen dsa of the renals selective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step seventeen bifurcated graft insertion drawback of dry seal sheath insertion of bifurcated graft workflow step eighteen dsa for the detection of the iia selective dsa to detect position of the ipsilateral iia workflow step nineteen bifurcated graft deployment unsheath of bifurcated endograft complete deployment workflow step twenty catherization of the cl insertion of hydrophilic zero three five wire confirmation of cl catherization using molding balloon workflow step twenty one dsa for the detection of cl iia selective dsa to detect position of the contralateral iia workflow step twenty two cl lim insertion and deployment insertion of cl lim complete deployment of cl lim workflow step twenty three molding balloon advancement of molding balloon to the ipsilateral lim molding balloon at the distal part of the cl lim workflow step twenty four completion dsa final dsa of the visceral abdominal yorda down to distal landing zones to confirm appropriate position of the endograft and bridging stent and exclude presence of any endolique workflow step twenty five cbct centering scouting fluoroscopy images to prepare for cbct workflow step twenty six cbct performance of cbct without contrast to detect any early technical pitfalls workflow step twenty seven additional repairs optional any maneuvers required to repair existing stent graft based on issues identified on completion dsa or cbct workflow step twenty eight sheath removal removal of sheeds,2.3627538681030273
base.en.pt,American_Female_audiovoice_100_bgnoise_50.wav,American,Female,100,50,0.09217391304347826,workflow step one fusion registration access establishment registration of fusion one antroposterior and one lateral at ninety degrees lao projection fluoroscopy images are needed to complete registration workflow step two adjunctive embolization optional insertion of stirable sheet deployment of the last embolic material workflow step three sheet insertion advancement of lunderquist wire to the ascending yorda insertion of twenty four fr sheet dry seal gore and pigtail cather to the contralateral lim and endograft insertion ipsilaterly workflow step four main body insertion insertion of fenestrated main body device workflow step five deployment dsa dsa of the visceral and abdominal yorda to depict anatomy and adjustment of fusion mask workflow step six main body deployment partial deployment of the endograft catherization of the main body and advancement of dry seal and stirable sheet workflow step seven renal artory catherizations orientation of stirable sheet to renal fenestration rose and wire advancement after confirmation of appropriate catherization workflow step eight superior mesenteric artory catherization orientation of stirable sheet to sma fenestration rose and wire advancement after confirmation of appropriate catherization workflow step nine ct catherization orientation of stirable sheet to ct fenestration rose and wire advancement after confirmation of appropriate catherization workflow step ten graph release advancement of ct stent into position without deployment release of proximal and distal endograft attachments and reducing ties workflow step eleven ca stent position of stent with four mm protruding into the yordic loomin flaring with ten mm balloon workflow step twelve dsa of the ca selective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step thirteen sma stent advancement of the sma stent and appropriate position flaring with ten mm balloon workflow step fourteen dsa of the sma selective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step fifteen reinal stents advancement of the reinal stent and appropriate position flaring with nine mm balloon workflow step sixteen dsa of the reinals selective dsa to confirm appropriate position of the bridging stent and exclude any endolique or target vessel dissection workflow step seventeen bifurcated graft insertion drawback of dry seal sheet insertion of bifurcated graft workflow step eighteen dsa for the detection of the iia selective dsa to detect position of the ipsilataral iia workflow step nineteen bifurcated graft deployment unsheath of bifurcated endograft complete deployment workflow step twenty catherization of the cl limb insertion of hydrophilic zero three five wire confirmation of cl catherization molding balloon workflow step twenty one dsa for the detection of cl iia selective dsa to detect position of the contralateral iia workflow step twenty two cl limb insertion and deployment insertion of cl limb complete deployment of cl limb workflow step twenty three molding balloon advancement of molding balloon to the ipsilataral limb molding balloon at the distal part of the cl limb workflow step twenty four completion dsa final dsa of the visceral abdominal yorda down to distal landing zones to confirm appropriate position of the endograft and bridging stent and exclude presence of any endolique workflow step twenty five cbct centering scouting fluoroscopy images to prepare for cbct workflow step twenty six cbct performance of cbct without contrast to detect any early technical pitfalls workflow step twenty seven additional repairs optional any maneuvers required to repair existing stent graft based on issues identified on completion dsa or cbct workflow step twenty eight sheath removal removal of sheeds,2.556666135787964
